rank,id,smiles,fit_score,n_hits
21487,F1916-9194,C#Cc1cccc(NC(=O)CCl)c1,0.16227793454946324,2
21488,F1916-7047,Cc1c(Cl)ccc2ccc(=O)[nH]c12,0.16227749124445703,1
21489,F1276-0021,CC(C)c1ccccc1OCC(O)CN.Cl,0.16227719225176931,1
21490,F1913-0020,COCC(N)=O,0.1622750496396725,1
21491,F1911-1717,Cc1ccc(CNC(C)(C)C)c(C)c1,0.16227481627346912,2
21492,F1904-3751,COC(=O)c1ccnc(NC2CCCC2)n1,0.16227475523769108,2
21493,F1904-6286,CC(C)COC(=O)NC(=S)N(C)C,0.16227263456318938,1
21494,F8881-3648,Cc1cc2ncnc(Cl)c2[nH]1,0.1622723315091837,1
21495,F1903-7447,CC(c1ccccc1)c1ncnc(C(=O)O)c1F,0.1622721437732896,1
21496,F1967-4446,Oc1ccc(NCCc2ccc(F)cc2)nn1,0.16227213752553396,2
21497,F1911-2054,CCCc1cc(N2CCC(C(=O)OC)CC2)ncn1,0.16226699783372847,1
21498,F1904-9159,CC(C)(C)c1cc(-c2ccccc2)n[nH]1,0.16226664128705137,1
21499,F1907-2049,CCCn1ccc2ccn(CCN)c(=O)c21,0.16226533003472707,1
21500,F6808-9981,Fc1cc(Br)cnc1N1CC(C(F)(F)F)C1,0.16226528763216272,1
21501,F1911-6344,Cc1nc(-c2ccc(F)cc2)nc(Br)c1C,0.16226425271566036,2
21502,F1913-5469,O=[N+]([O-])c1c[nH]c(-c2ccc[nH]2)n1,0.16226284892011494,1
21503,F1907-8963,CCCCN(C)c1ccnc(Cl)c1,0.162256428128681,1
21504,F1922-6502,OCC1CNC(c2cccc(OC(F)(F)F)c2)C1,0.1622490351272611,2
21505,F1911-1551,NC1CCN(c2cc(C3CCOCC3)ncn2)CC1,0.16224815707720072,1
21506,F1909-8120,O=Cc1cc(C2CC2)on1,0.16224687908886742,1
21507,F3414-0379,Cc1ccc(N[C@H]2CNC[C@@H]2F)cc1,0.1622467667704657,2
21508,F1913-7071,O=C1CCC(F)(F)CO1,0.1622439204824938,1
21509,F1903-0316,CON(C)C(=O)c1cccnc1SC,0.16224349616860498,2
21510,F1910-9205,Nc1ccccc1Nc1ncc(Br)cc1Cl,0.1622285913832191,1
21511,F1923-0837,Cl.OC[C@H]1CNC[C@H]1CF,0.16221642751645723,2
21512,F2198-3437,[N-]=[N+]=NCc1c(-c2ccco2)n[nH]c1C1CC1,0.1622159922698384,1
21513,F2147-9300,BrC1CC2COCC2C1,0.1622064437437076,2
21514,F1922-3344,COc1ccc(C(O)CCOCC(F)(F)F)cc1F,0.16220132030763207,2
21515,F2198-1007,COC(=O)c1cc(-c2ccsc2)nn1C(C)C,0.16219924369228114,2
21516,F2147-8072,CNCCCc1cc(C(C)(C)C)on1.Cl,0.16219855776747447,1
21517,F1923-1960,CC#CCC1CCCNC1,0.1621966885062802,1
21518,F2198-3789,CCc1[nH]nc(C)c1CN,0.1621923342211967,1
21519,F1903-9633,Fc1c(Cl)nc(C2CC2)nc1-n1ccnc1,0.16219059933660998,1
21520,F1967-2836,O=C(O)c1cc(-c2cccs2)n[nH]c1=O,0.16218971834742574,2
21521,F1922-6296,Cl.NC1CC(c2cccc3ccccc23)NC1=O,0.16218570097056492,1
21522,F1911-1141,NC1CCCN(c2cc(-c3ccsc3)ncn2)C1,0.16218525610911233,1
21523,F1924-1691,COC(=O)CCc1ccc(Br)cc1[N+](=O)[O-],0.16218470281521186,1
21524,F2197-7024,COC(=O)C1CC(Oc2ccn3nccc3n2)CN1,0.16218406354210263,2
21525,F1386-0387,CC(C)(C)c1ccc(-c2csc(N)n2)cc1,0.16218154140377275,1
21526,F1911-1323,CC(C)Nc1cc(C(F)F)ncn1,0.16218066164065786,1
21527,F1903-9637,Fc1c(Br)nc(C2CC2)nc1-n1ccnc1,0.16218018584101174,1
21528,F2147-7860,CC1(C)OB(c2cnn(-c3cnccn3)c2)OC1(C)C,0.16217357036517976,1
21529,F1923-1343,O=C(O)c1c[nH]c2ncc(C(F)(F)F)cc12,0.16217099661383524,2
21530,F1922-4256,Cc1c(Cl)ccc2ccn(CC(=O)O)c12,0.16217027471263934,1
21531,F2145-0331,CCOc1ccc(Nc2nc(CC(=O)O)cs2)cc1,0.16216853021246444,2
21532,F1907-1808,Cc1cccc2cc(CN)c(=O)n(C)c12,0.1621632225597872,1
21533,F1903-0241,CON(C)C(=O)c1c(C)noc1C,0.16216173899741743,1
21534,F6541-3354,c1cn2nccc2c(NCC2CC2)n1,0.1621617072892573,2
21535,F1924-7394,C1CNCC2(C1)N=N2.Cl,0.16216118427534687,1
21536,F1791-1518,COc1ccc(NC(=O)CCl)cc1,0.1621579571090133,2
21537,F2198-6560,NCc1[nH]nc2c1CSCC2,0.16215590927126614,1
21538,F1916-8021,COc1cc(CN)ccn1.Cl.Cl,0.1621526672728663,2
21539,F1967-5795,CC1CCc2nc(-c3ccccn3)cn2C1,0.16215241979180528,1
21540,F2185-0922,Cc1c(-c2ccccc2)c(N)[nH]c(=O)c1C#N,0.1621505752912301,1
21541,F2157-1002,CC(C)(Cn1cc(CO)nn1)c1ccccc1,0.16214330370542235,1
21542,F1916-5982,CC(C)OCCCNc1ncnc(Cl)c1N,0.16214322543679477,2
21543,F1967-1383,Cc1nc(-c2ccco2)sc1CO,0.16213500170460987,1
21544,F2198-6548,OCc1[nH]nc2c1CSCC2,0.16213471153580414,1
21545,F1911-1051,O=C(O)C1CCN(c2cc(C3CCCO3)ncn2)CC1,0.16213167095504832,1
21546,F2167-6125,CC(=O)c1cccc(C#CCn2ccnc2)c1,0.16212690121896167,2
21547,F1916-7037,Cc1c(Br)ccc2ccc(=O)[nH]c12,0.16212591000673646,1
21548,F1913-7784,CCC(C)(CN)C(F)F,0.16212481457604622,2
21549,F2113-0524,CCn1cc(C=O)c2c(C(=O)OC)cccc21,0.1621216585595065,1
21550,F0266-1270,Nc1ccc(Cl)cc1C(=O)c1ccccc1,0.1621202957267639,1
21551,F2157-0646,O=Cc1cn(Cc2ccccc2)nn1,0.16212017713138124,2
21552,F6545-4887,O[C@@H]1COC[C@H]1N1CCCc2ccccc21,0.1621113349795191,1
21553,F1907-0749,Cc1nc2cc(CN)ccc2n1C1CC1,0.1621085284315807,1
21554,F1908-2619,Cc1nc(Cl)cc(N2CC3CCCC3C2)n1,0.1621016903401709,1
21555,F1904-9652,Clc1ccc(Cl)c(-c2cc(C3CCC3)[nH]n2)c1,0.1620978531128917,1
21556,F2198-4365,CC(C)c1n[nH]c(C2CCC2)c1CN,0.16208525994347273,1
21557,F1905-8946,Cl.Cl.NCc1nc2ccncc2[nH]1,0.16208304211185115,1
21558,F1909-8725,O=C(O)C1(Oc2ccc(F)cn2)CC1,0.16207746137960785,2
21559,F2197-7589,COc1ccc2nccc(OC(C)C(=O)O)c2c1,0.16207674256649954,1
21560,F1908-2277,N#Cc1cccc(CN2CCC(C(=O)O)C2)c1,0.16207663046706677,2
