synthon_smiles,original_smiles,parent_fit_score,parent_n_hits,reactivity,bb_info
COc1ccc(C[NH:20]C(=O)Cn2cc([CH:10]=O)nn2)cc1OC,COC(=O)c1cn(CC(=O)NCc2ccc(OC)c(OC)c2)nn1,0.4645406706126326,3,bifunctional,"{'Amides_Amides', 'Esters_Esters'}"
Fc1ccc(C[NH2:20])cc1F,NCc1ccc(F)c(F)c1,0.4639557794192943,3,nucleophile,"{'PrimaryAmines_PriAmines_Benzylic', 'PrimaryAmines_PriAmines_Aliphatic'}"
Fc1ccc(C[NH2:40])cc1F,NCc1ccc(F)c(F)c1,0.4639557794192943,3,nucleophile,"{'PrimaryAmines_PriAmines_Benzylic', 'PrimaryAmines_PriAmines_Aliphatic'}"
COc1ccc(C[NH:20]C(=O)CN=[N+]=[N-])cc1OC,COc1ccc(CNC(=O)CN=[N+]=[N-])cc1OC,0.4635031894789025,3,nucleophile,{'Amides_Amides'}
COc1ccc(C(CCOCC(F)(F)F)[NH2:20])cc1F,COc1ccc(C(N)CCOCC(F)(F)F)cc1F,0.4628354728000282,3,nucleophile,"{'PrimaryAmines_PriAmines_Benzylic', 'PrimaryAmines_PriAmines_Aliphatic'}"
COc1ccc(C(CCOCC(F)(F)F)[NH2:40])cc1F,COc1ccc(C(N)CCOCC(F)(F)F)cc1F,0.4628354728000282,3,nucleophile,"{'PrimaryAmines_PriAmines_Benzylic', 'PrimaryAmines_PriAmines_Aliphatic'}"
O=[CH:10]c1cc(-c2ccc(F)cc2Cl)ncn1,O=C(O)c1cc(-c2ccc(F)cc2Cl)ncn1,0.4625943057033905,3,electrophile,{'Acid_Heteroaromatic_Acid'}
CCOC(=O)NC(=S)NCc1cnc(OC)c[cH:60]1,CCOC(=O)NC(=S)NCc1ccc(OC)nc1,0.4623426558975303,3,unknown,{'Reagents_Minisci_CHpartners'}
CCOC(=O)NC(=S)NCc1ccc(OC)n[cH:60]1,CCOC(=O)NC(=S)NCc1ccc(OC)nc1,0.4623426558975303,3,unknown,{'Reagents_Minisci_CHpartners'}
CC(C1CC1)[NH:20]Cc1ccc2c(c1)OCO2,CC(NCc1ccc2c(c1)OCO2)C1CC1,0.4622374616146314,3,nucleophile,"{'SecondaryAmines_secAliphatic', 'SecondaryAmines_secBenzylic'}"
COc1cc(C[NH2:40])cc(OC)c1OC,COc1cc(CN)cc(OC)c1OC,0.4609294534137883,3,nucleophile,"{'PrimaryAmines_PriAmines_Benzylic', 'PrimaryAmines_PriAmines_Aliphatic'}"
COc1cc(C[NH2:20])cc(OC)c1OC,COc1cc(CN)cc(OC)c1OC,0.4609294534137883,3,nucleophile,"{'PrimaryAmines_PriAmines_Benzylic', 'PrimaryAmines_PriAmines_Aliphatic'}"
